연월,서울,지방광역시_통합,부산,대구,인천,광주,대전,울산
2012-08-01,486.2912397899226,226.7197579678652,254.5247542386293,216.5298461471152,256.4960623611001,172.0893133069258,231.76848557534424,240.7354149637624
2012-09-01,485.4395710930955,227.0819507875066,253.84742657329016,217.3794464538014,255.92800977807815,173.00961430368386,232.43624212919153,243.5542050703576
2012-10-01,484.2765129157214,227.39364498654126,252.76597441203765,218.65193436976747,254.7048932107558,174.06638964309286,232.580129402255,246.61281378311438
2012-11-01,483.7917319989974,227.95021827538721,251.92681868529118,219.90189632139558,253.67273964890822,174.15991542705186,232.97411181497807,249.09742973665104
2012-12-01,482.8758152055919,228.7841243298736,251.62629208345933,220.19842861105357,253.96609516633126,174.25537330427412,232.53802385165025,250.59437996208325
2013-01-01,482.8793060011545,229.34703358893765,251.06958026445298,221.33961327437032,253.09702111842046,175.25555843812,232.07118464926657,251.60761686527226
2013-02-01,484.51404310674985,229.9875032047756,250.74064835707443,222.3805103654099,252.73596837502365,176.16391310212896,232.49370839115898,252.1083716098822
2013-03-01,485.23016472329164,230.9035785270307,251.03576406721444,223.61854699609208,252.5652396127605,177.27921729747388,233.34758230132286,253.20909610816807
2013-04-01,485.04529694350384,232.04634073952602,251.89458905779338,225.3343671797106,252.80200195439986,178.26376614627495,233.9787503636085,254.62927809801943
2013-05-01,483.9355011835771,233.3326680579046,253.6346741186858,227.01973000734958,252.96925145356605,179.0565772442723,235.05565594672473,255.3394993527385
2013-06-01,484.08292778239655,234.49276107856232,253.7689383056876,229.19749022283858,253.41874218528235,179.5982842677904,236.22241598565617,255.55905864372448
2013-07-01,482.4541433121871,236.065661437927,254.32610344943623,231.367293707642,254.67394722192486,180.9559132444368,237.77721853845887,255.31086577608815
2013-08-01,482.6408440193602,237.95451928905445,255.07985217319563,234.2985404817314,255.98861103475352,181.89817310734193,239.52924340973752,255.81977054446057
2013-09-01,481.63898185574243,239.55668381163977,256.0045455364242,237.18188368740343,256.1703702401582,182.415254110762,240.62755134864753,255.47614507580388
2013-10-01,481.4715917783406,241.04630849381442,256.223514209248,239.71422899059783,257.4229075337359,183.3481657966363,241.74008718622304,254.86415379581388
2013-11-01,481.7657216670473,242.64813679646082,256.8879216455758,242.7131378245521,258.75146959120843,184.74804835494555,243.2878387099901,254.8025328888923
2013-12-01,482.6816384604527,244.45834956539986,258.40890569101873,245.85497777179876,259.7444560458957,186.44619581291067,244.71061234205638,255.4621417623657
2014-01-01,484.32577843465793,246.32059750803373,260.2004462085085,249.01968259092504,260.98436939540846,187.46695635661658,246.33122151689454,255.77010744679365
2014-02-01,484.3012711085849,247.72096579223648,260.833785564381,251.66062245618377,261.91247766896714,188.88416437821263,246.65377014599207,256.03912592327976
2014-03-01,484.07228587401875,249.34858634525585,262.03527930711635,254.6475002924624,263.0048267685658,190.33990785748168,247.63170990071288,256.4412740505923
2014-04-01,484.1943165145167,250.36557549800628,262.2823194846865,256.92010381247013,264.01019506970545,191.53654813350659,248.6562624487785,256.8056581928511
2014-05-01,484.6310513859758,251.62844162539977,262.96619157673234,259.0288878061638,265.1921562176129,192.98328687396474,248.97442895447202,258.04931116766073
2014-06-01,486.17737948403857,252.72462929960582,263.78161046195913,261.2240373150832,266.4098604327489,193.975407969254,248.9673796393905,258.8712137816423
2014-07-01,489.7555989741636,254.01132242948393,265.0284802110604,263.90776022957283,267.4792292876544,195.21458816181953,249.8125033172819,259.6718658298416
2014-08-01,493.3151465829878,255.46976376329837,266.1428479499297,266.3024105258274,269.1939653589865,196.46003211202938,249.8622331222089,260.21849702024184
2014-09-01,495.87891875099785,256.73074645113326,267.13905054862306,268.32038674095116,270.57570195497937,198.15515131103052,249.9387112217954,260.83632333867564
2014-10-01,497.63047141742726,258.1924045964013,267.93494658501197,270.8625763051642,272.56754860535716,199.2550363171815,249.8313318614502,262.0387286038587
2014-11-01,497.95729299082063,259.7920941672322,269.37292008042533,273.3166626253064,274.490997246189,200.15346139404434,249.27386929528197,263.1157133073601
2014-12-01,498.91025321647544,261.32751268398994,270.5239197460705,276.24604475991055,275.8539998928126,200.843738129895,249.3322806349842,264.2445178853845
2015-01-01,498.83305420586044,262.68538318952216,271.5193082470439,278.5904555047279,277.39046409819656,201.9850489590349,249.40802137945948,265.3845652641548
2015-02-01,499.6345921404509,264.4679070049361,273.5018492032228,281.73844219164255,278.9193287553292,203.09103757178661,249.89928415836994,266.94675548750695
2015-03-01,501.97955912186507,266.10142498746865,274.6532328832148,285.00871083151014,280.32618826337983,204.08436617228753,249.50903889540302,268.0878281642747
2015-04-01,504.91318290463795,267.80990027538564,276.142421013667,288.26210947350825,281.90863425865894,205.3139226105349,249.13114491632982,268.29803041684676
2015-05-01,507.33809450259474,269.53062602139784,277.88870038538386,291.59379378891464,283.39969044617607,206.50354919022277,249.24356776592504,268.5069988056253
2015-06-01,509.31222690903337,271.6205042026236,280.0341306287775,294.7369285831954,284.7352802285196,208.47525245439184,249.34961324487622,269.7774364286935
2015-07-01,511.240874966078,273.8543268805602,282.2207895083709,297.2047172668987,286.7331497356451,209.9227933534515,248.96748011877034,271.7586808946035
2015-08-01,512.8369358624777,275.03031000324484,283.052561519014,299.7464170243675,288.21916669319415,211.82725532636712,248.85992965854402,272.687340910294
2015-09-01,515.9539600296042,276.6361589842686,284.3544040105165,302.83386511414943,290.5327127746957,213.7610198410205,248.53208032923797,273.9542996365064
2015-10-01,520.1401557047583,278.24057953615517,286.311737179441,304.9225714950403,292.4388532078498,215.55814491657395,248.47408059752362,275.35643198117924
2015-11-01,526.1804260678114,279.6171761611119,287.97486594674194,306.1879173984941,294.8801476069279,217.20192788417629,248.90584138376354,277.2773563016736
