시리즈,연월,중앙값_만원_m2
대전,2024-01,385.19637462235653
대전,2024-02,401.79748079305443
대전,2024-03,388.3540847788735
대전,2024-04,400.07801521296653
대전,2024-05,401.6870857601928
대전,2024-06,434.0834261417106
대전,2024-07,428.47556427411575
대전,2024-08,441.2745892910306
대전,2024-09,450.66413662239086
대전,2024-10,427.0882491741387
대전,2024-11,428.60510645835143
대전,2024-12,419.3224222291242
대전,2025-01,417.6509306933339
대전,2025-02,400.47114252061243
대전,2025-03,420.8512673362028
대전,2025-04,429.462289681139
대전,2025-05,428.1845896361501
대전,2025-06,427.3936071827736
대전,2025-07,432.3570432357043
대전,2025-08,409.60451977401135
대전,2025-09,437.98866005778757
대전,2025-10,453.0809504631494
대전,2025-11,453.12776005799765
대전,2025-12,459.0960409786371
부산,2006-01,140.85746984769784
부산,2006-02,141.88568889370092
부산,2006-03,140.03500875218805
부산,2006-04,139.42114635143867
부산,2006-05,136.66588068851686
부산,2006-06,136.23231597359384
부산,2006-07,140.35087719298247
부산,2006-08,142.6242868785656
부산,2006-09,143.2222489293901
부산,2006-10,140.28056112224448
부산,2006-11,135.52160107034226
부산,2006-12,146.34441914443445
부산,2007-01,150.9930308327769
부산,2007-02,150.5016722408027
부산,2007-03,149.42934462877986
부산,2007-04,151.80570506772565
부산,2007-05,143.31243581733702
부산,2007-06,150.12666245957058
부산,2007-07,148.48703748294406
부산,2007-08,150.5016722408027
부산,2007-09,156.65155262434735
부산,2007-10,151.18529269472666
부산,2007-11,154.19236539423235
부산,2007-12,150.6871601521757
부산,2008-01,160.24036054081122
부산,2008-02,155.16602764958506
부산,2008-03,155.70934256055364
부산,2008-04,165.36302257458306
부산,2008-05,155.05670614484666
부산,2008-06,158.8503475041829
부산,2008-07,154.5887938837543
부산,2008-08,162.28753347543312
부산,2008-09,152.37086716084247
부산,2008-10,149.3288590604027
부산,2008-11,153.48164974511434
부산,2008-12,154.20835785756327
부산,2009-01,155.05168389463157
부산,2009-02,158.73015873015873
부산,2009-03,168.13329418116717
부산,2009-04,164.84163428705992
부산,2009-05,170.91152815013405
부산,2009-06,179.51393665674587
부산,2009-07,183.88529569642776
부산,2009-08,187.0042187225838
부산,2009-09,178.69661813711838
부산,2009-10,176.5886860839488
부산,2009-11,188.25744205200613
부산,2009-12,188.6865271652486
부산,2010-01,190.39376893119862
부산,2010-02,197.71155135995514
부산,2010-03,187.11540876554065
부산,2010-04,189.68935888962326
부산,2010-05,194.12221464034448
부산,2010-06,198.18157587997803
부산,2010-07,200.82648089460972
부산,2010-08,202.87379498433717
부산,2010-09,212.49627199522814
부산,2010-10,207.96197266785504
부산,2010-11,222.7097437655326
부산,2010-12,233.3060971857941
부산,2011-01,237.8900189622479
부산,2011-02,236.33310660896046
부산,2011-03,240.628269698326
부산,2011-04,245.2206986287659
부산,2011-05,250.35132636132707
부산,2011-06,251.88323917137478
부산,2011-07,252.5252525252525
부산,2011-08,258.46256461564116
부산,2011-09,260.6285418889245
부산,2011-10,271.4504897911011
부산,2011-11,263.76628569870957
부산,2011-12,254.32795123894323
부산,2012-01,257.13971698252595
부산,2012-02,255.38396449773768
부산,2012-03,250.4105090311987
부산,2012-04,251.73480162920504
부산,2012-05,234.50203030824116
부산,2012-06,251.84044050766207
부산,2012-07,249.609984399376
부산,2012-08,253.5023348899266
부산,2012-09,252.50060990485483
부산,2012-10,258.47306385607084
부산,2012-11,253.69641697775205
부산,2012-12,250.7216320169611
부산,2013-01,250.4591751544498
부산,2013-02,251.4367816091954
부산,2013-03,253.9518975528784
부산,2013-04,262.04070151615235
부산,2013-05,255.38305103895004
부산,2013-06,253.45161075168411
부산,2013-07,256.29596612435927
부산,2013-08,262.5473195750397
부산,2013-09,263.59693026359696
부산,2013-10,261.1006879299562
부산,2013-11,261.66930621368624
부산,2013-12,268.97344056227615
부산,2014-01,271.9576613643265
부산,2014-02,259.0368538796656
부산,2014-03,268.3698224657029
부산,2014-04,265.0051836469942
부산,2014-05,263.58951614350036
부산,2014-06,263.23663737440546
부산,2014-07,271.2584031135747
부산,2014-08,275.9197324414716
부산,2014-09,275.5513614479173
부산,2014-10,270.65144036662275
부산,2014-11,278.9249881586467
부산,2014-12,282.78543655001766
부산,2015-01,283.9023233760076
부산,2015-02,282.82734535381263
부산,2015-03,282.186426625607
부산,2015-04,282.87544121242024
부산,2015-05,284.544868604102
부산,2015-06,288.98180029513037
부산,2015-07,297.4983096686951
부산,2015-08,285.900996569188
부산,2015-09,291.17347134594786
부산,2015-10,294.1394383937171
부산,2015-11,298.88253336625746
부산,2015-12,289.1501188157468
부산,2016-01,294.95562150020857
부산,2016-02,297.7398836107728
부산,2016-03,294.9086525085783
부산,2016-04,306.50476454337735
부산,2016-05,311.9114920801255
부산,2016-06,321.8460993796781
